Date,Open,High,Low,Close,Adj Close,Volume
2018-05-03,9960406.000000,10524680.000000,9873954.000000,10466075.000000,10466075.000000,10963864629172
2018-05-04,10414130.000000,10522615.000000,10323120.000000,10409982.000000,10409982.000000,8818635431107
2018-05-05,10409468.000000,10693005.000000,10403930.000000,10578880.000000,10578880.000000,8211373161698
2018-05-06,10565100.000000,10666863.000000,10157254.000000,10363752.000000,10363752.000000,7752612226499
2018-05-07,10353951.000000,10369137.000000,9967099.000000,10109072.000000,10109072.000000,7974672218034
2018-05-08,10117550.000000,10204630.000000,9825314.000000,9949872.000000,9949872.000000,7990080762386
2018-05-09,9937924.000000,10125959.000000,9769503.000000,10052357.000000,10052357.000000,7790443140913
2018-05-10,10053198.000000,10020783.000000,9622367.000000,9625918.000000,9625918.000000,7351145906585
2018-05-11,9635518.000000,9658603.000000,8956889.000000,9007070.000000,9007070.000000,9057251044865
2018-05-12,9007017.000000,9245406.000000,8774475.000000,9074717.000000,9074717.000000,7278412562433
2018-05-13,9086028.000000,9360062.000000,8957593.000000,9300942.000000,9300942.000000,6254382134386
2018-05-14,9289384.000000,9503065.000000,8934481.000000,9319643.000000,9319643.000000,7873454357405
2018-05-15,9307241.000000,9492278.000000,9125102.000000,9180147.000000,9180147.000000,7233449463293
2018-05-16,9173707.000000,9188253.000000,8818901.000000,9008962.000000,9008962.000000,7277309400036
2018-05-17,9010275.000000,9106826.000000,8704812.000000,8749312.000000,8749312.000000,6336925979484
2018-05-18,8746621.000000,8937622.000000,8608021.000000,8915750.000000,8915750.000000,6228611013061
2018-05-19,8920895.000000,9046596.000000,8842683.000000,8911655.000000,8911655.000000,5092077929689
2018-05-20,8911450.000000,9249972.000000,8866336.000000,9199844.000000,9199844.000000,5609718954420
2018-05-21,9209656.000000,9287390.000000,9028140.000000,9062790.000000,9062790.000000,5549192171415
2018-05-22,9063738.000000,9067292.000000,8603403.000000,8639123.000000,8639123.000000,5518587291871
2018-05-23,8634074.000000,8679702.000000,8106783.500000,8123069.000000,8123069.000000,6976591002372
2018-05-24,8126616.500000,8356140.500000,7899377.000000,8188485.000000,8188485.000000,6528499804210
2018-05-25,8193837.500000,8251957.500000,7954195.500000,8056111.000000,8056111.000000,5242652651520
2018-05-26,8062939.000000,8179987.500000,7915002.500000,7922282.500000,7922282.500000,4363508545536
2018-05-27,7928960.000000,7947846.000000,7830824.000000,7911037.000000,7911037.000000,4355363759687
2018-05-28,7914354.500000,7951737.500000,7622592.500000,7657417.000000,7657417.000000,5408916710674
2018-05-29,7650409.500000,8157209.000000,7628863.000000,8099017.000000,8099017.000000,6137360891851
2018-05-30,8095917.500000,8187245.500000,7886035.500000,7962231.000000,7962231.000000,5291878210599
2018-05-31,7961833.500000,8226362.000000,7928157.500000,8092129.500000,8092129.500000,5536223823636
2018-06-01,8099181.000000,8155768.500000,7954520.000000,8074103.000000,8074103.000000,5269062959618
2018-06-02,8069039.000000,8239386.500000,8026791.000000,8183307.000000,8183307.000000,5288162587696
2018-06-03,8171144.500000,8302618.000000,8150749.000000,8262597.500000,8262597.500000,5192596276992
2018-06-04,8265037.500000,8294261.000000,7992364.500000,8042812.500000,8042812.500000,5344239697076
2018-06-05,8028288.000000,8177415.500000,7905174.000000,8168962.500000,8168962.500000,5309607351698
2018-06-06,8160627.000000,8185725.500000,7992641.000000,8152637.000000,8152637.000000,4997960568575
2018-06-07,8149270.500000,8261483.500000,8161512.000000,8225775.500000,8225775.500000,4805682329437
